date,total,old,merit,kids,foreigner,person,disabled,teenager,premium,gasoline,light
202202 ,79284924 ,6580333 ,135522 ,622127 ,25690 ,67727148 ,1246200 ,2947904 ,1936 ,1715 ,1537 
202203 ,90627423 ,7593539 ,153707 ,702389 ,31905 ,76432707 ,1403031 ,4310145 ,2152 ,1938 ,1827 
202204 ,100182903 ,8598837 ,165580 ,947759 ,49763 ,84203010 ,1533861 ,4684090 ,2194 ,1977 ,1906 
202205 ,109231641 ,9541370 ,179414 ,1120233 ,74226 ,91489258 ,1657543 ,5169597 ,2184 ,1967 ,1964 
202206 ,104686821 ,9184094 ,172918 ,1050650 ,90174 ,87932381 ,1581462 ,4675142 ,2299 ,2084 ,2089 
202207 ,106822178 ,9068110 ,172796 ,1110890 ,110623 ,90096510 ,1580219 ,4683030 ,2261 ,2030 ,2085 
202208 ,103600992 ,8782208 ,169135 ,1110904 ,122795 ,87665570 ,1525200 ,4225180 ,2078 ,1792 ,1889 
202209 ,104139913 ,9004817 ,168837 ,1007966 ,159124 ,87710567 ,1534951 ,4553650 ,2017 ,1730 ,1850 
202210 ,109527312 ,9968162 ,177064 ,1114264 ,241427 ,91721351 ,1627994 ,4677050 ,1955 ,1667 ,1838 
202211 ,108623373 ,9590806 ,175532 ,949173 ,242011 ,91555953 ,1601211 ,4508684 ,1936 ,1650 ,1879 
